model,representation,config,kind,accuracy,precision,recall,f1,fpr,auc,cv_best_f1,vocab_size,n_test_in_train,tp,fp,tn,fn,best_params
LinearSVM,tfidf_unigram,anchor_phase2,repro_check,0.9874031007751938,0.967479674796748,0.9296875,0.9482071713147411,0.004424778761061947,0.9886442201327433,0.9172268396153941,3183,7,119,4,900,9,{'C': 1}
LogisticRegression,tfidf_bigram,anchor_phase2,repro_check,0.9864341085271318,0.9596774193548387,0.9296875,0.9444444444444444,0.0055309734513274336,0.9930171460176991,0.9199948692290588,9622,7,119,5,899,9,{'C': 10}
LinearSVM,tfidf_unigram,baseline,ablation,0.9835271317829457,0.9586776859504132,0.90625,0.9317269076305221,0.0055309734513274336,0.989430655420354,0.9258151649147255,3218,7,116,5,899,12,{'C': 1}
LogisticRegression,tfidf_bigram,baseline,ablation,0.9854651162790697,0.959349593495935,0.921875,0.9402390438247012,0.0055309734513274336,0.991928235619469,0.9322833545490472,10341,7,118,5,899,10,{'C': 10}
LinearSVM,tfidf_unigram,baseline+stopword,ablation,0.9825581395348837,0.9435483870967742,0.9140625,0.9285714285714286,0.007743362831858407,0.9849713080752213,0.9189052997288764,3093,8,117,7,897,11,{'C': 1}
LogisticRegression,tfidf_bigram,baseline+stopword,ablation,0.9825581395348837,0.9365079365079365,0.921875,0.9291338582677166,0.008849557522123894,0.9868466537610618,0.919192885269412,6311,8,118,8,896,10,{'C': 10}
LinearSVM,tfidf_unigram,baseline+stem,ablation,0.9835271317829457,0.9663865546218487,0.8984375,0.9311740890688259,0.004424778761061947,0.9864059043141593,0.9268961026164693,2851,7,115,4,900,13,{'C': 1}
LogisticRegression,tfidf_bigram,baseline+stem,ablation,0.9864341085271318,0.9596774193548387,0.9296875,0.9444444444444444,0.0055309734513274336,0.9899923949115044,0.9284147597210435,10119,7,119,5,899,9,{'C': 10}
LinearSVM,tfidf_unigram,baseline+stopword+stem,ablation,0.9806201550387597,0.95,0.890625,0.9193548387096774,0.00663716814159292,0.9829490459070797,0.9141373972006885,2752,8,114,6,898,14,{'C': 1}
LogisticRegression,tfidf_bigram,baseline+stopword+stem,ablation,0.9796511627906976,0.928,0.90625,0.9169960474308301,0.00995575221238938,0.98459969579646,0.9144839632752821,6170,8,116,9,895,12,{'C': 10}
LinearSVM,tfidf_unigram,minimal_keeppunct,ablation,0.9854651162790697,0.9669421487603306,0.9140625,0.9397590361445783,0.004424778761061947,0.9928615873893806,0.9451902354980499,3336,0,117,4,900,11,{'C': 1}
LogisticRegression,tfidf_bigram,minimal_keeppunct,ablation,0.9874031007751938,0.967479674796748,0.9296875,0.9482071713147411,0.004424778761061947,0.9939159292035398,0.9514299569612774,12385,0,119,4,900,9,{'C': 10}
